species	tree_representative	pistil_len	pl_sd	pollen_vol	pv_sd	pollen_gr	pg_sd	ov_num	on_sd	meantube	meanbeak
anas	anas	2.00	0.16	8732.77	591.44	14190	2364	34.94	5.00	7	1
axillaris	axillaris	2.44	0.14	6304.32	532.13	31713	2847	8.17	1.40	12	1
batangensis	batangensis	3.93	0.27	3321.77	646.05	41428	5787	13.21	1.53	30	5.5
confertiflora	confertiflora	2.70	0.16	3982.17	483.73	36423	4885	43.58	5.71	12	7
cyathophylla	cyathophylla	5.03	0.24	8390.55	439.46	84750	9623	33.00	3.54	34	7
cymbalaria	none	3.01	0.14	3091.93	233.58	84907	6759	34.58	2.97	22.5	0
davidii	davidii	3.68	0.10	7735.95	789.42	33511	4111	19.23	3.19	11	1
debilis	debilis	2.66	0.14	4388.19	388.74	84907	6759	25.29	5.06	8.5	6
densispica	densispica	1.92	0.17	1008.35	95.45	124786	23981	39.42	4.78	7	0
dichotoma	dichotoma	2.62	0.16	2679.63	352.37	40489	5455	31.31	2.29	14	10
dolichocymba	dolichocymba	4.50	0.38	6166.47	1351.90	138393	32202	66.42	10.03	14	0
dolichoglossa	dolichoglossa	2.53	0.14	8132.55	537.57	20020	3568	19.92	2.63	12	0
dunniana	tristis	2.71	0.11	6117.99	821.92	136510	19921	95.23	5.78	15	0
elwesii	elwesii	3.48	0.23	1871.49	274.04	246693	35124	27.83	2.29	10	1
geosiphon	geosiphon	4.16	0.34	8656.31	664.79	17467	3674	8.71	1.33	55	4
gracilicaulis	cephalantha	2.82	0.11	3035.53	269.81	71694	10242	32.14	5.43	14	5.5
gruina	gruina	3.85	0.17	4091.61	330.81	59351	7177	21.12	2.18	8.5	5
integrifolia	integrifolia	4.42	0.22	2691.61	206.11	362053	25303	66.00	9.37	20	15
kansuensis	kansuensis	1.80	0.10	2212.74	255.60	43468	5462	6.62	0.77	11	0
lachnoglossa	lachnoglossa	2.34	0.18	4076.11	560.59	37382	4675	13.54	1.76	11	4
latituba	latituba	6.93	0.28	9014.65	858.97	26253	4221	12.46	1.71	40	5
likiangensis	likiangensis	1.37	0.08	2409.30	189.91	26069	2967	10.80	1.37	7	0
longiflora var. longiflora	longiflora	7.84	0.80	17314.44	1372.42	22688	3074	30.64	2.76	55	6
longiflora var. tubiformis	none	7.44	0.36	12193.76	1361.30	22717	2641	23.08	1.93	NA	NA
macrosiphon	macrosiphon	8.59	0.80	10339.43	773.60	16693	2182	10.00	0.74	55	5
megachila	none	3.66	0.31	4526.10	520.49	57256	10819	30.10	1.79	NA	NA
monbeigiana	oxycarpa	2.39	0.28	3420.30	457.64	36697	4755	7.83	0.58	10	7
mussoti	mussoti	3.17	0.17	6666.73	594.67	49103	4739	11.15	1.14	8.5	9
polyodonta	polyodonta	6.94	0.21	6994.10	615.68	23007	5593	15.47	1.92	11	0
princeps	princeps	3.56	0.23	5189.95	695.30	145027	23965	62.8	8.5	NA	NA
rex ssp lipskyana	thamnophila	3.58	0.17	2263.96	191.14	334516	35898	22.92	5.98	15	0
rex ssp rex	rex	3.87	0.38	2119.81	221.59	330536	33356	29.47	1.81	22.5	0
rhinanthoides ssp labellata	none	4.78	0.34	5903.07	616.41	115543	11280	26.63	3.24	NA	NA
rhinanthoides ssp rhinanthoides	rhinanthoides	3.98	0.12	4161.79	392.28	124736	21359	28.54	2.63	27	8.5
rhodotricha	rhodotricha	3.26	0.35	3690.65	426.99	113417	15870	72.08	7.53	10	4.5
roylei	roylei	1.64	0.11	1236.25	141.39	42514	13661	17.15	1.91	10.5	0
siphonantha	siphonantha	6.94	0.21	6994.10	615.68	23007	3092	14.47	1.92	55	11
stenocorys	stenocorys	2.97	0.11	3950.44	327.67	126557	21207	33.58	3.50	NA	NA
szetschuanica	szetschuanica	1.75	0.14	1098.32	110.13	81657	11309	12.33	2.15	10	0
tenera	ternata	1.79	0.13	1286.19	191.58	89383	14829	45.50	6.86	16	0
trichoglossa	trichoglossa	3.53	0.33	3784.90	411.76	182052	30590	66.40	13.15	10	5
tricolor spp tricolor	tricolor	8.32	0.74	9154.84	564.20	67353	7095	25.29	4.16	42.5	16
tricolor spp lophocentra	cranolopha	5.54	0.51	4831.94	843.68	64570	11861	16.00	2.89	45	7.5
urceolata	urceolata	3.99	0.43	7533.36	664.13	20393	2935	27.75	3.99	28.5	4.5
