tube.length	beak.length	corolla.width	lip.length	beak.angle	lip.width	population
54.36	9.79	34.91	17.5	82.5	15.285	1
46.81	8.835	30.405	14.81	92.5	14.745	1
59.05	9.225	34.26	17.07	72.5	14.825	1
49.53	9.75	37.33	16.545	75	15.4	1
50.505	9.75	33.165	16.305	90	16.03	1
48.97	9.53	33.92	17.285	80	15.9	1
46.935	9.145	32.675	15.065	85	13.99	1
49.525	9.56	34.3	16.7	85	15.36	1
56.875	9.68	37.5	17.2	82.5	15.465	1
50.31	9.27	36.505	16.89	80	15.485	1
56.28	6.615	23.46	13.45	117.5	16.33	2
77.85	6.15	26.15	12.45	102.5	14.45	2
61.3	6.6	21.95	10	92.5	14.15	2
77.05	6.87	25.85	12.4	107.5	17.9	2
73.4	6.01	24.95	13.2	110	14.1	2
76.45	6.85	26.3	13.3	110	18.4	2
63.95	6.58	25.15	13.67	105	17.7	2
66.01	6.635	29.4	15.7	97.5	17.33	2
84.025	6.885	27.425	15	102.5	15.52	2
78.735	6.2	25.4	12.95	102.5	14.4	2
82.4	6.85	24.365	13.605	110	15.1	3
76.2	7.175	26.58	13.265	97.5	17	3
81.065	7.175	28.735	15.25	95	16.54	3
74.775	6.585	24.43	13.37	95	14.535	3
71.355	5.89	26.895	13.76	110	17.785	3
58.755	6.105	25.485	12.26	97.5	16.71	3
84.16	5.73	29.07	13.595	102.5	17.52	3
67.69	6.575	26.65	15.285	100	16.285	3
58.08	5.885	25.215	13.72	95	14.125	3
86.375	6.37	29.01	14.68	92.5	17.16	3
46.015	6.57	20.06	10.18	117.5	9.95	4
40.4	6.275	20.56	10.07	115	12.235	4
28.855	5.625	18.81	9.99	115	11.905	4
51.515	5.92	22.35	10.98	112.5	12.725	4
38.895	6.035	21.895	10.895	110	13.065	4
45.135	6.14	22.325	11.01	107.5	14.18	4
40.46	5.69	20.63	10.085	110	12.505	4
41.96	6.17	21.12	9.07	105	11.56	4
43.905	5.56	20.285	11.69	102.5	14.45	4
49.87	5.66	21.49	10.315	107.5	12.43	4
38.45	5.64	23.665	10.93	115	13.47	5
52.16	6.16	19.88	10.47	107.5	12.675	5
39.945	5.925	23.385	11.615	107.5	13.07	5
45.34	6.305	20.21	10.27	110	12.115	5
41.9	6.805	20.9	10.22	105	12.515	5
43.97	6.685	23.59	11.895	115	13.165	5
48.64	6.25	20.755	10.25	115	13.745	5
50.025	6.785	24.8	12.525	115	13.2	5
41.22	5.33	20.73	9.68	115	11.595	5
44.025	7.12	20.55	10.345	115	11.28	5
65.44	6.16	25.685	12.76	115	16.21	6
57.555	6.075	24.975	12.09	100	15.715	6
56.425	6.12	20.215	11.235	97.5	10.87	6
60.21	6.18	22.22	10.41	107.5	14.285	6
67.12	5.61	21.32	11	120	12.48	6
67.65	6.735	24.21	11.83	92.5	14.025	6
67.925	6.38	22.025	10.68	107.5	13.3	6
62.53	6.49	21.94	11.285	100	14.37	6
65.865	5.655	25.36	13.245	107.5	16.735	6
74.61	5.725	21.18	10.97	100	12.92	6
53.45	6.52	25.01	12.085	100	15.24	7
67.395	6.815	23.515	11.755	115	14.575	7
60.44	6.33	21.185	11.095	97.5	14.695	7
66.135	6.545	24.69	12.88	90	15.51	7
56.8	6.83	23.335	11.725	100	12.65	7
64.66	5.93	22.03	12.405	102.5	14.23	7
51.315	6.155	22.885	11.925	102.5	15.01	7
53.735	5.6	21.735	10.815	107.5	13.135	7
