site	date	lat	long	elev	tube_length	beak_length	corolla_width	lip_length	galea_angle	split_beak	lip_width	pollen_volume	sd_tube_length	sd_beak_length	sd_corolla_width	sd_lip_length	sd_galea_angle	sd_lip_width	sd_pollen_diam					
s1	07/15/10	28.01.00	99.60.00	3100	51.287	9.4535	34.497	16.537	82.5	0	15.2485	10.5	4.1236837631	0.3199222996	2.1988080104	0.9168127156	6.123724357	0.5954832305	0.96							
s2	07/16/10	29.41.47	100.23.26	3680	71.505	6.5395	25.6035	13.212	104.75	0	16.028	9.2	9.0141191719	0.3149025422	2.0328579362	1.537926454	7.0168448117	1.7112490565	1.24							
s3	07/16/10	29.45.26	100.22.43	3676	74.0855	6.434	26.6435	13.879	99.5	0	16.276	8.47	10.0823086118	0.5290652134	1.8075091056	0.9398871091	6.2137839608	1.2661946489	0.975							
s4	07/16/10	29.59.09	100.54.35	3548	42.701	5.9645	20.9525	10.4285	110.25	1	12.5005	5.93	6.3639683636	0.3316578726	1.1121806658	0.7310762614	4.7798767999	1.2827930681	0.75							
s5	07/17/10	30.02.34	101.16.26	3470	44.5675	6.3005	21.8465	10.82	112	1	12.683	5.73	4.5015591435	0.5627435275	1.7949575204	0.9031980218	4.0483192672	0.8096405238	0.54	
s6	07/17/10	30.25.09	101.32.53	3605	64.533	6.113	22.913	11.5505	104.75	1	14.091	7.34	5.4689955405	0.3684517155	1.9619012887	0.9172405779	8.3707493359	1.8013942131	0.66							
s7	07/17/10	30.34.37	101.25.05	3499	59.786	6.3115	22.827	11.8725	101.25	1	14.2905	6.1	5.7216323428	0.3884302454	1.3580852534	0.6429845773	6.7956276793	1.0188349828	0.77							
s8	07/17/10	30.38.35	101.24.18	3601	64.211	6.332	22.423	11.2025	102.75	1	13.696	6.87	6.5711083963	0.5865255512	1.4734901877	0.6861861183	7.1151247354	1.2951143236	0.71							
s9	07/17/10	30.49.41	101.16.53	3560	55.615	7.941	23.0205	11.115	73.75	0	15.0435	7.4	5.0623325761	0.7353336355	1.3647414285	0.478603292	7.3833521444	1.0655698788	1.11							
s10	07/18/10	31.12.05	100.51.27	3080	53.9485	7.4635	25.2355	12.4575	79.55	0/1	14.5755	7.9	5.5324156116	0.6280262291	1.9442314248	0.6695323824	5.8993879155	1.7559904612	0.93							
s11	07/18/10	31.23.34	100.40.57	3181	71.0805	7.332	28.0675	14.049	89	1	18.296	9.04	8.8224024978	0.5475206744	0.7181351235	0.6045512569	5.7975090436	1.2392668083	0.99							
s12	07/18/10	31.32.41	100.28.07	3292	62.284	6.878	26.148	12.8285	91.25	0	16.547	8.86	6.2110380238	0.4584345343	1.8451576265	1.4019174369	6.7956276793	1.7961690715	1.2							
s13	07/18/10	31.38.50	100.15.48	3588	67.5705	7.393	26.881	13.317	91.25	0	17.0055	10.73	6.3726287311	0.69278103	1.4063502804	0.8539977882	9.2233098422	1.2506785936	1.25							
s14	07/18/10	31.37.28	100.13.54	3847	76.2925	7.075	26.132	12.7865	92.25	0	16.8745	10.63	6.929764406	0.4748801018	1.6957335351	0.9593923135	8.6962635655	1.8580253108	0.91							
s15	07/18/10	31.32.59	100.08.30	3621	62.5345	6.737	25.698	12.8055	93.75	0	16.4	9.37	8.0911990768	0.6949508376	2.2979256346	0.9204149125	6.1520096084	2.2082735841	0.93							
s16	07/18/10	31.42.51	99.37.00	3752	79.843	6.7845	26.8175	13.125	90.75	0	17.0215	10.23	9.8833569983	0.4186250643	1.9762088424	0.8502189261	2.8987545218	0.9073283431	1.1							
s17	07/18/10	31.54.41	99.15.25	3829	78.7035	6.787	24.0805	11.5105	87.5	0	15.334	10.8	12.3614427534	0.2981908412	1.5272841728	0.7156172549	4.249182928	1.6319310307	0.79							
s18	07/19/10	31.53.20	99.01.48	4112	70.1925	6.2625	23.077	11.0705	91	0	14.5085	9.72	7.941288466	0.5067009309	1.5149242739	0.9943519665	2.9344694769	1.7229868285	1.1							
s19	07/19/10	31.55.53	98.49.54	3792	63.4155	8.4715	20.9545	10.837	79.5	0	13.8575	14.3	8.6226470059	0.4251669607	2.2439962493	0.5091397974	4.3779751789	0.7715649681	1.5	
s20	07/19/10	31.52.39	98.35.27	3390	56.743	8.9085	20.538	10.393	79.58	0	13.167	13.56	4.9729402213	0.5698394023	1.1355669167	0.7693077697	4.6052626901	1.0718395402	1.78							
s21	07/20/10	31.07.23	98.53.30	3029	43.003	7.9395	21.428	10.876	78.75	0	12.8375	11.66	4.3751159985	0.5619334184	1.1911810199	0.6869611019	8.9170560663	0.7955998785	1.41							
s22	07/20/10	30.58.54	98.57.36	4003	52.707	9.017	21.8325	10.7735	82.5	0	14.8785	12.51	6.8333573983	0.8518972291	1.1065794393	0.429515554	7.3598007219	1.1570557703	1.12							
s23	07/20/10	30.43.10	99.05.29	3208	41.2255	8.532	21.5415	10.7885	88.75	0	13.2335	11.94	5.0206575765	0.334000998	1.1544143537	0.5496061721	2.124591464	0.8427964365	0.88							
s24	07/20/10	30.35.52	99.11.18	3469	58.533	6.107	23.522	11.091	101.5	0	13.903	7.84	10.4978982553	0.3920969268	1.8583044841	0.7267423508	5.552777083	1.1439337588	1.14							
s25	07/21/10	30.17.49	99.40.25	4306	66.0225	6.3835	25.2425	12.645	100.25	0	16.3175	8.55	5.1688958901	0.4635733791	1.5565939491	0.7281674105	6.6091266863	1.1585773124	0.75							
s26	07/21/10	29.49.14	100.20.47	3905	77.159	6.0485	24.6095	12.182	95	0	16.3395	8.51	10.0884953178	0.345864858	1.0048865331	0.6371342088	5.0000000000	1.070904213	0.8	
