species	phyllotaxy	tube_lo	tube_hi	meantube	beak_lo	beak_hi	meanbeak	nectar	stigmapos	beehav	avg_color	simple_stigma
alaschanica	0	20	25	22.5	2	3	2.5	1	Ab	0	yellow	DA
alopecuros	0	18	20	19	7		7	0	A	1	yellow, red	VA
anas	0	7		7	1		1	1	Ab	0	red, white	DA
angustiloba	1	9		9	1.5		1.5	1	Ab	0	yellow	DA
anthemifolia	0	10	15	12.5	0		0	1	A	0	red	VA
armata	1	90	120	105	15		15	0	A-lateral	1	yellow	A-lateral
axillaris	1	12		12	1		1	0	A	1	red, white	VA
batangensis	1	30		30	5.5		5.5	0	A	1	yellow	VA
bella	1	28	34	31	8		8	0	Ab	1	red	DA
bidentata	1	75		75	7		7	0	T-lateral	1	yellow, white	T-lateral
brevilabris	0	15	20	17.5	1		1	1	Ab	0	red	DA
cephalantha	0	14		14	5	6	5.5	0	Ab	1	red, white	DA
cheilanthifolia	0	11	14	12.5	0		0	1	Ab	0	red, white	DA
chenocephala	0	10		10	1		1	1	y	0	red	DA
chinensis	1	45	50	47.5	9	10	9.5	0	T-lateral	1	yellow	T-lateral
chumbica	0	15	18	16.5	6.5		6.5	0	A	1	red	VA
cinerascens	1	12		12	0		0	0	A	1	red, white	VA
comptoniaefolia	1	20		20	0		0	1	Tb	1	red, white	DT
confertiflora	0	12		12	7		7	0	A	1	red, white	VA
cranolopha	1	40	50	45	7	8	7.5	0	T-lateral	1	yellow	T-lateral
cristatella	0	8	9	8.5	6	7	6.5	0	Ab	0	red, white	DA
croizatiana	1	25	30	27.5	5		5	0	A	1	yellow	VA
curvituba	0	10		10	2.5	3	2.75	1	Ab	0	yellow	DA
cyathophylla	0	35	55	45	7		7	0	Tb	1	red	DT
cyathophylloides	0	12		12	1		1	1	Ab	0	red, white	DA
cymbalaria	0	20	25	22.5	0		0	1	A	1	red, yellow	VA
daucifolia	0	5	6	5.5	0		0	1	Ab	0	red	DA
davidii	1	10	12	11	1		1	0	A	1	red	VA
debilis	0	8.5		8.5	6		6	0	A	1	red	VA
decorissima	1	90		90	1		1	0	T-lateral	1	red	T-lateral
densispica	0	6	8	7	0		0	1	Ab+T	1	red	DA
dichotoma	0	13	15	14	10		10	1	A	1	red, white	VA
diffusa	0	8		8	0		0	1	Tb	0	red	DT
dolichocymba	1	14		14	0		0	0	A-base	1	yellow, red	A-base
dolichoglossa	0	12		12	0		0	1	Ab	0	yellow, white	DA
elwesii	1	10		10	1		1	0	T-lateral	1	red	T-lateral
fetisowii	0	8	12	10	8		8	0	Tb	1	red, white	DT
fletcheri	1	22		22	3		3	0	Ab	1	white, red	DA
fragarioides	1	11	0	5.5	0		0	1	Ab	1	red	DA
geosiphon	1	45	65	55	4		4	0	A	1	red, white	VA
glabrescens	0	8	9	8.5	0		0	1	Tb	0	red	DT
globifera	0	12		12	1		1	1	Tb	0	yellow	DT
gruina	1	7	10	8.5	5		5	0	A	1	red, white	VA
gyrorhyncha	0	8		8	8	9	8.5	0	hindLeg	1	yellow	hindLeg
hemsleyana	1	5	6	5.5	4		4	1	Tb	0	white, red	DT
